S.no,Date & Time,Machine Name,Operator No,Operator Name,Comp. Drawing No,Comp. Description,Comp. Serial No,Program No,Revision No,Actual Part Count,Run Time,Idle Time,Disconnect Time,Alarm Time,Component Status,Operation Sequence,Planned Touch Time,Start Time,End Time,Actual Run Time,Operation Status,Alarm,Message
1,04-07-2026 14:50:12,SURIN-BFW_XTRON_3,119,SANDEEP,5101,JCB PIVOT OUTER,9||302890001,-,1,546,01:57:53,01:53:44,00:07:52,00:02:13,NEW,N1,180,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N2,240,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N5,-,04-07-2026 14:58:34,04-07-2026 15:02:12,0,Unknown,-,-
,,,,,,,,,,,,,,,,N2,240,04-07-2026 15:02:12,04-07-2026 15:08:55,106,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N2,240,04-07-2026 15:08:55,04-07-2026 15:37:19,606,Incomplete,UNKNOWN,Network Off
,,,,,,,,,,,,,,,,N2,240,04-07-2026 15:37:19,04-07-2026 15:54:59,722,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N2,240,04-07-2026 15:54:59,04-07-2026 16:58:13,201,Rework-3,-,-
,,,,,,,,,,,,,,,,N1,180,04-07-2026 16:58:13,04-07-2026 16:58:18,6,Completed,-,-
2,04-07-2026 15:42:11,SURIN-BFW_XTRON_1,125,AKASH PATEL,1001162990,JLG 450 CHASSIS BEARING,-,-,-,272,00:19:31,00:05:00,00:00:00,00:00:00,NEW,N10,40,-,-,0,Skipped,-,-
3,04-07-2026 16:06:41,SURIN-BFW_XTRON_1,125,AKASH PATEL,1001162990,JLG 450 CHASSIS BEARING,-,-,-,273,00:01:30,00:11:00,00:00:00,00:00:00,NEW,N10,40,-,-,0,Skipped,-,-
4,04-07-2026 16:19:11,SURIN-BFW_XTRON_1,125,AKASH PATEL,1001162990,JLG 450 CHASSIS BEARING,-,-,-,274,00:13:55,00:00:21,00:00:00,00:00:00,NEW,N10,40,-,-,0,Skipped,-,-
5,04-07-2026 16:33:26,SURIN-BFW_XTRON_1,125,AKASH PATEL,1001162990,JLG 450 CHASSIS BEARING,-,-,-,275,00:13:39,00:16:48,00:00:00,00:00:00,NEW,N10,40,-,-,0,Skipped,-,-
6,04-07-2026 17:03:53,SURIN-BFW_XTRON_1,125,AKASH PATEL,1001162990,JLG 450 CHASSIS BEARING,50,-,0,227,01:38:10,26:52:29,04:45:37,07:56:50,NEW,N10,40,-,-,0,Skipped,-,-
7,04-07-2026 18:51:54,SURIN-BFW_XTRON_3,119,SANDEEP,-,No component,-,-,-,547,00:00:00,01:02:35,00:00:00,00:05:31,NEW,,,,,,,,
8,04-07-2026 19:54:55,SURIN-BFW_XTRON_2,125,AKASH PATEL,4801,LIUGONG MOTOR BRACKET,50316207610,-,1,7,04:45:31,01:59:41,00:17:02,00:01:40,NEW,N1,480,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N2,420,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N3,241,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N4,1200,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N101,-,04-07-2026 21:17:14,04-07-2026 21:18:47,90,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,04-07-2026 21:18:47,04-07-2026 21:28:08,267,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,04-07-2026 21:28:08,04-07-2026 21:43:17,890,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,04-07-2026 21:43:17,04-07-2026 22:32:13,2165,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,04-07-2026 22:32:13,04-07-2026 23:42:56,1361,Incomplete,UNKNOWN,Network Off
,,,,,,,,,,,,,,,,N101,-,04-07-2026 23:42:56,05-07-2026 00:04:53,1111,Incomplete,UNKNOWN,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 00:04:53,05-07-2026 01:02:46,2404,Incomplete,UNKNOWN,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 01:02:46,05-07-2026 01:04:19,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 01:04:19,05-07-2026 01:21:51,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 01:21:51,05-07-2026 01:25:51,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 01:25:51,05-07-2026 01:28:36,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 01:28:36,05-07-2026 01:43:27,549,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 01:43:27,05-07-2026 01:45:25,107,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 01:45:25,05-07-2026 01:48:03,155,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 01:48:03,05-07-2026 01:50:07,119,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 01:50:07,05-07-2026 01:53:20,154,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 01:53:20,05-07-2026 01:59:52,365,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 01:59:52,05-07-2026 02:10:05,611,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 02:10:05,05-07-2026 02:11:44,84,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 02:11:44,05-07-2026 02:21:29,453,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 02:21:29,05-07-2026 02:38:08,996,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N101,-,05-07-2026 02:38:08,05-07-2026 02:58:49,1242,Unknown,-,-
9,04-07-2026 20:00:00,SURIN-BFW_XTRON_3,119,SANDEEP,-,No component,302890001,-,1,517,00:17:21,01:40:10,00:00:31,00:00:00,NEW,,,,,,,,
10,04-07-2026 21:58:00,SURIN-BFW_XTRON_3,119,SANDEEP,-,No component,-,-,-,548,00:02:43,00:01:50,00:00:00,00:00:00,NEW,,,,,,,,
11,04-07-2026 22:02:33,SURIN-BFW_XTRON_3,119,SANDEEP,-,No component,302890001,-,1,549,02:02:44,00:55:44,00:21:59,00:03:54,NEW,,,,,,,,
12,05-07-2026 01:26:53,SURIN-BFW_XTRON_3,119,SANDEEP,5101,JCB PIVOT OUTER,302890001||9,-,1,550,00:16:41,00:56:37,00:05:07,00:00:00,NEW,N1,180,05-07-2026 01:45:23,05-07-2026 01:45:44,21,Completed,-,-
,,,,,,,,,,,,,,,,N2,240,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N4,-,05-07-2026 01:45:44,05-07-2026 01:47:04,80,Unknown,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 01:47:04,05-07-2026 01:51:14,149,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N5,-,05-07-2026 01:51:14,05-07-2026 01:54:25,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N5,-,05-07-2026 01:54:25,05-07-2026 02:00:57,4,Unknown,-,-
,,,,,,,,,,,,,,,,N1,180,05-07-2026 02:00:57,05-07-2026 02:10:46,247,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N1,180,05-07-2026 02:10:46,05-07-2026 02:11:51,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N1,180,05-07-2026 02:11:51,05-07-2026 02:15:36,0,Rework-3,-,-
,,,,,,,,,,,,,,,,N4,-,05-07-2026 02:15:36,05-07-2026 02:16:25,49,Unknown,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 02:16:25,05-07-2026 02:24:55,52,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N5,-,05-07-2026 02:24:55,05-07-2026 02:26:13,0,Unknown,-,-
